Time,Coulomb Counting,OCV,KF I=10s P=0.5 R=0.25
0,69.32,69.32,69.32
10.09,69.29,69.32,69.31
20.18,69.25,69.32,69.29
30.26,69.22,69.32,69.28
40.36,69.19,69.32,69.26
50.45,69.16,68.12,69.03
60.53,69.13,68.12,68.86
70.63,69.1,68.12,68.74
80.71,69.07,68.12,68.64
90.8,69.04,68.12,68.55
100.89,69.01,68.12,68.48
110.98,68.98,68.12,68.42
121.07,68.95,68.12,68.37
131.16,68.92,68.12,68.32
141.25,68.89,68.12,68.28
151.33,68.86,68.12,68.17
161.42,68.83,68.12,68.13
171.51,68.8,68.12,68.1
181.61,68.77,68.12,68.08
191.69,68.73,66.93,67.99
201.77,68.7,66.93,67.91
